artista,oyentes,reproducciones,biografia,artistas_similares
Nafta,28926,792766,"El combo explosivo de Nafta se completa con Tomás Sánchez en batería, Simón G. en teclados, Brian Vainberg en bajo, An Espil y Abril Olivera en coros, y Jonathan Vainberg en sonido. Y si algo logra esta banda es generar un trance sonoro agradable, atrapante y seductor, como esas series que no podés abandonar hasta el capítulo final. Una de las razones es el groove que le aporta la base sonora, con una buena dosis de funk y soul. <a href=""https://www.last.fm/music/Nafta"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['El Kuelgue', '1915', 'El Zar', 'Bandalos Chinos', 'Babasónicos']"
maanu,15932,377699,,"['Abdul Hannan', 'Bayaan', 'Rovalio', 'umair', 'Young Stunners']"
Alessandra Amoroso,59570,1116177,"Alessandra Amoroso (Galatina, 12 Agosto 1986)

Alessandra Amoroso (nacio el 12 de agosto de 1986 en Galatina, Lecce) es una cantante de pop italiano / soul. Ella fue la ganadora del reality show de televisión italiana Amici de Maria De Filippi.

Desde su juventud, Alessandra participó en numerosas competencias a nivel local, Obteniendo muy buenos resultados. Obtuvo el diploma en contabilidad.
En junio de 2007 participó en un concurso, ""Fiori di Pesco"", cantando la canción ""Amor mio"", siendo la primera entre los intérpretes. Ella se ven recompensados por el magnate. En la parte diecisiete en las audiciones para Amici di Maria De Filippi, pero ella fue descartada después de haber pasado diferentes etapas.

AMICI DI MARIA DE FILIPPI, el éxito de ""IMMOBILE"" y la victoria
El 5 de octubre de 2008, pasado el casting para la octava edición, Alessandra formó parte del programa de televisión ""Amigos de Maria De Filippi"", cantando el single de Alicia Keys ""If I Ain't Got You"". En el programa, Rudy Zerbi, presidente de Sony Music, le asigna tres singles inéditos para Alessandra. Así, participó en la grabación de la compilación del programa, Scialla. La recopilación tiene un buen éxito, ""Find a way"" este llegó a la cuarta posición, mientras ""Immobil"" hasta la cumbre.
En marzo 25 de 2009, seguido por el profesor de canto Luca Jurman, Alessandra fue proclamado ganador de Amici, ganando el primer premio de 200.000 euros. En la misma tarde también recibió el premio de la crítica, una beca por valor de 50.000 euros. Con este dinero, Alessandra Amoroso dice que seguirá estudiando con Luca Jurman.

EL POST-AMICI: ""Stupida"" Y la gira de verano
En la final de Amici, Alessandra Stupida presentó su nuevo single, que dio su nombre a su primer EP, sólo Stupida. El single fue lanzado el 27 de marzo y alcanzó la primera posición en el ranking de FIMI. El 10 de abril publico Stupida su primer EP, producido por Sony Music. El álbum, se convirtió en oro en reserva, porque sus treinta y cinco mil ejemplares solicitados. El 20 de abril, Stupida ganó el disco de platino, y el 23 de mayo ganó doble disco de platino. Alessandra recibió el 6 de junio de 2009, por Maria De Filippi a la fundición de la nueva edición de Amigos. El 6 de junio, Alessandra tiene dos Premios de la Música de viento para las ventas de su EP y para los de la compilación Scialla. El 21 de junio actuó en el concierto por Amiche l'Abruzzo, organizada por Laura Pausini, en el staudium de San Siro de Milán. De junio 19 a septiembre 22, Alessandra comenzó a las fechas de la gira de verano en el que Alessandra promovido Stupid EP con varias etapas en toda Italia. El 20 de agosto Alessandra registrado, durante el Tour Stupida, la primera se agotó en Arena Ciccio Franco, en Reggio Calabria. Para agosto, Stupida ha vendido más de 200.000 copias, obteniendo así los discos de trece de plata, cinco álbumes de oro y dos de platino.

El primer álbum y ""Grazie a tutti""
El 31 de julio, Sony anunció oficialmente la fecha de publicación del primer álbum de estudio: 25 de septiembre, también con una versión en DVD con pietaje inédito de la gira detrás de las escenas. El título del álbum es ""Senza Nuvole"". El álbum fue anticipado por un nuevo single ""Estranei a partire da ieri"", que fue transmitida en la radio desde el 28 de agosto, con la excepción de RTL 102.5, emitido desde agosto 24. El single consiguió un buen éxito: ocupaba el sexto lugar en la tabla italiana individuales, vigésimo segundo en la difusión radial, mientras que en Europa alcanzó un máximo de cuarenta y nueve. El 8 de octubre, presentó por primera vez el disco en vivo a la ""Limelight ""en Milán, con entrada restringida a los ganadores de diversos concursos creados por un Radio Kiss Kiss, los patrocinadores - entre otros - el caso, por Fornarina, MTV y la fansblog, además de los primeros compradores del álbum, sin nubes. Los aficionados pudieron asistir a la proyección del concierto en 37 cines seleccionados en toda Italia, que transmitió el evento en vivo vía satélite en alta definición. El álbum alcanzó el número uno en FIMI, el gráfico italiano discos oficiales. El 6 de octubre Senza Nuvole ganó el disco de platino en primer lugar. El segundo single extraído de Senza Nuvole es el título del album, tema Senza Nuvole, difusión en la radio desde el 16 de octubre. Desde el 8 de noviembre, junto a Alessandra, Gianni Morandi en la realización en la tarde Graize a tutti, una variedad. <a href=""https://www.last.fm/music/Alessandra+Amoroso"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Emma', 'Giorgia', 'Elodie', 'Annalisa', 'Elisa']"
Arde Bogotá,19587,1020350,"Arde Bogotá es un grupo de indie rock nacido en Cartagena, España, a finales de 2017. Con su música, que bebe de diversos estilos, pretenden aportar frescura al panorama indie en español con canciones potentes y letras de tinte generacional que no dejan indiferente a nadie. <a href=""https://www.last.fm/music/Arde+Bogot%C3%A1"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Viva Suecia', 'Izal', 'Vetusta Morla', 'Lori Meyers', 'Supersubmarina']"
Vance Joy,2042498,40375686,"James Keogh (nacio el 1ro de diciembre de 1987), mejor conocido como Vance Joy, es un cantautor australiano. Joy firmó un contrato para cinco discos con Atlantic Records en 2013. Él lanzó su EP debut ""God Loves You When You're Dancing"" en marzo del 2013. Su canción ""Riptide"" fue elegida número 1 en el ""Triple J Hottest 100"" del 2013. Joy ha lanzado su álbum debut ""Dream Your Life Away"" el 5 de septiembre del 2014 en Australia y el 9 de septiembre del 2014 en el resto del mundo. <a href=""https://www.last.fm/music/Vance+Joy"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['The Lumineers', 'Mumford & Sons', 'George Ezra', 'The Head and the Heart', 'Hollow Coves']"
Mavi Gri,31378,1058920,,"['Yüzyüzeyken Konuşuruz', 'Dedublüman', 'Emir Can İğrek', 'Perdenin Ardındakiler', 'Skapova']"
Sumika,149668,2754513,,"['Mrs. GREEN APPLE', 'Ryokuoushoku Shakai', 'Official髭男dism', 'back number', 'KANA-BOON']"
Matuê,331645,35721496,"Matheus Brasileiro Aguiar, más conocido por su nombre artístico Matuê es un rapero, cantante, compositor y guitarrista brasileño. Es mejor conocido por sus sencillos ""Anos Luz"", lanzado en 2017, su álbum de 2020 ""Máquina do Tempo"" y el éxito de 2023 ""Conexões de Máfia"", una colaboración con Rich the Kid. <a href=""https://www.last.fm/music/Matu%C3%AA"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['WIU', 'Teto', 'DooDe', 'Tz da Coronel', 'Jovem Dex']"
Johnossi,305873,8973243,"JOHNOSSI
Componentes: John Engelbert (Guitarra y voz). Ossi Bonde (Batería y Coros)

Biografía: Parece mentira que sean solo dos los componentes de esta formación Sueca. Dos amigos que se juntan, se juran amistad eterna y funden sus nombres de pila (John y Ossi) para formar un todo musical: JOHNOSSI. Como si de los entrañables Beavis & Butt-head se tratasen, John disfruta berreando y escupiendo sonidos a través de una guitarra acústica enchufada a la distorsión mas sucia. Ossi aporrea y maltrata la batería mientras adereza con una pizquita de voz gruesa las canciones de su querido amigo del alma. Aún así, dicen también tener su corazoncito: Un silbido distante, una bella emoción…. hasta el sonido del silencio les puede tocar la fibra. Sí, de acuerdo, pero sus canciones son continuos puñetazos de pegajosas y fibrosas melodías y, salvo que alguien les lleve por el camino de la rectitud, sobra decir que Johnossi no son el mejor compañero para ensoñaciones precisamente. Nos acordarmos al oírles, de otro famoso y tremendo dúo: White Stripes. Su ""Execution song "", single extraído de su álbum homónimo ""Johnossi "", es una contagiosa y potente píldora de pop-rock. Y de esta forma caen los demás temas del disco: ""Man must dance "", o la mas tranquila pero efervescente ""Family Values"". Sus canciones, llenas de riffs sureños, sonidos pantanosos, blues, country y pop, logran una extraña mezcolanza que las hacen únicas. Johnossi dicen no ser una de esas bandas que durante años han estado ensayando en algún mugriento garaje. Modestia aparte, afirman haber sido tocados por las hadas desde el primer momento. Después de tan sòlo tres conciertos en su Estocolmo natal (uno de ellos en un barco gay), firmaron ya su primer contrato discográfico. Desde entonces no han parado de girar por toda Escandinavia y parte de Europa, con grupos como The Soundtrack of our Lives o recientemente, con Mando Diao. John, junto a su único y querido drugo Ossi, estarán entre nosotros en un único y exclusivo concierto programado en España de la mano de Fikasound. <a href=""https://www.last.fm/music/Johnossi"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Mando Diao', 'Broder Daniel', 'Moneybrother', 'The Family Rain', 'The Von Bondies']"
teo glacier,95847,1226590,,"['Luke Chiang', 'Rini', 'Giveon', 'Jeff Bernat', 'VEDO']"
SZA,2869211,433302168,"Solana Rowe (nacida el 8 de Noviembre de 1989) es mejor conocida como SZA. El proyecto de esta cantante y compositora estadounidense es significativamente distinto y tras lanzar su EP debut de manera independiente (See.SZA.Run) se notaron las influencias de Rowe (neo soul, alternative R&B y el PBR&B) que la llevaron a trabajar con artistas como Chance the Rapper y Kendrick Lamar.

En su corta carrera, SZA (influenciada por Björk, Red Hot Chilli Peppers y Billie Holiday) ha cultivado una carrera de éxito crítico por sus sonidos y voz y que, según estos, la colocan como ''La Girl Next Door'' del momento y una Erykah Badu contemporánea (aunque a Solana le desagrade ser una ''imagen pública''). 

Rowe lanzó un EP posterior en el 2013 (''S'') y un EP que logró un Top 40 en los Estados Unidos (''Z'') y planea lanzar un 4to EP (''A'') muy pronto. <a href=""https://www.last.fm/music/SZA"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Summer Walker', 'Doechii', 'Doja Cat', 'Tyla', 'Ariana Grande']"
LadiPOE,25457,229629,,"['Blaqbonez', 'Odumodublvck', 'Show Dem Camp', 'LoJay', 'BNXN']"
Brent Cobb,131719,1267629,"Brent Cobb es un cantautor y artista de música country estadounidense.​​Cobb ha lanzado cuatro álbumes de estudio y un EP.​Su álbum más reciente, And Now, Let's Turn to Page..., fue lanzado el 28 de enero de 2022. <a href=""https://www.last.fm/music/Brent+Cobb"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['The SteelDrivers', 'Turnpike Troubadours', '49 Winchester', 'Colter Wall', 'Vincent Neil Emerson']"
UNISON SQUARE GARDEN,118269,4554656,"UNISON SQUARE GARDEN es una banda de tres piezas formado en 2004. Su divertida marca de indie fue electropop inicialmente en la naturaleza, y aunque esto se ha convertido en un estilo de rock más recta a través del tiempo, se sigue caracterizando por melodías pegadizas y melodías bailables, con las voces únicas de el cantante y guitarrista, Kosuke Saito. <a href=""https://www.last.fm/music/UNISON+SQUARE+GARDEN"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['a flood of circle', 'ヒトリエ', 'PEOPLE 1', 'BUMP OF CHICKEN', 'ストレイテナー']"
taeyeon,503289,41348567,,[]
Walker Hayes,169638,1724898,"Walker Hayes es un cantante country estadounidense. Ha publicado tres sencillos que han estrado en la lista de éxitos Hot Country Songs y ha lanzado dos álbumes. <a href=""https://www.last.fm/music/Walker+Hayes"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Kane Brown', 'Niko Moon', 'Old Dominion', 'Jake Owen', 'Jordan Davis']"
Gigi Perez,767380,17876114,,"['Them & I', 'Searows', 'Bon Iver & St. Vincent', 'Gracie Abrams', 'girl in red']"
Gims,260737,5912106,,"['Maître Gims', ""Sexion d'Assaut"", 'Dadju', 'Kendji Girac', 'Black M']"
Annika,14087,242673,,"['Josef', 'Caroline Castell', 'Olivia Lobato', 'Y4ska', 'Jireel']"
Q' Lokura,16643,367566,"Q' Lokura es un grupo de cuarteto de la ciudad de Córdoba, Argentina. Está formado por Nicolás Sattler y Facundo «Chino» Herrera. <a href=""https://www.last.fm/music/Q%27+Lokura"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","[""Dale Q' Va"", 'Eugenia Quevedo', 'DesaKTa2', 'Damián Córdoba', 'Valentino Merlo']"
Orion Sun,1037744,17157602,,[]
Maki,95153,3225197,,"['Cup of Joe', 'NIO', 'Rob Deniel', 'Bini', 'TJ Monterde']"
Sdm,58590,3254136,,[]
Coma_Cose,34431,787345,,"['La rappresentante di lista', 'GAZZELLE', 'Brunori Sas', 'Calcutta', 'Ex-Otago']"
Jenni Vartiainen,79509,4317541,"Jenni Vartiainen (Marzo 20, 1983), es una cantante finlandesa de estilo Pop (muy particular y fresco) nacida en la ciudad de Kuopio y forma parte del sello discográfico ""Warner Music Finland""

Ganadora de  la competición de Popstars Reality Show  en Finlandia en 2002 junto con otras 2 chicas, en trío formaron la banda llamada ""Gimmel"" y lanzaron 2 discos antes de separarse en octubre de 2004.

Luego de eso Jenni Vartiainen inició sú carrera solista.

Ella ejecuta piano y compone sus temas. Posee 2 discos lanzados como solista: Ihmisten Edessä (2007) y Seili (2010), los cuales gozan de gran éxito más alla de su tierra natal; Europa e incluso América.

Vartiainen participó en los Starbucks Love Project, representando a Finlandia con ""Higher Ground"", cantando ""All You Need Is Love"" el 7 de diciembre de 2009  y así ganar el premio para ""AIDS in Africa"".

Myspace: www.myspace.com/jennivartiainen <a href=""https://www.last.fm/music/Jenni+Vartiainen"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Chisu', 'Haloo Helsinki!', 'Happoradio', 'PMMP', 'Anna Puu']"
FKA twigs,1363719,98798572,"FKA twigs (anteriormente conocida como Twigs y nombre de nacimiento Tahliah Barnett) es una cantante originalmente de Gloucestershire, Reino Unido. La jamaicana-española, ahora residente en Londres, sacó su primer trabajo musical en Diciembre de 2012, un EP que contiene cuatro canciones, y los respectivos vídeos para cada una. Luego grabó y sacó su siguiente trabajo, simplemente llamado ""EP2"" en Septiembre de 2013 e impresionó al mundo entero con sus modernos y frescos sonidos de trip-hop.

Tahliah Barnett, mejor conocida simplemente como “Twigs” por la forma en que acostumbra tronar sus huesos como ramitas. El “FKA (Formerly Known As)” fue agregado hace poco después de que otro artista con el mismo nombre le pidiera cambiarlo. La artista creció en Gloucestershire –un área rural de Inglaterra– y asegura que siempre fue solitaria y nada popular, pues es de estatura pequeña, su padre nació en Jamaica y a ella le gustan cosas “raras” como bailar ballet o cantar ópera (ocupaciones y hobbies dignos de algún ser elevado pero perturbado).

Tahliah Barnett inició su carrera artística de una forma inesperada (al menos para aquellos que sólo la conozcan por su críptico y a la vez crudo proyecto): ella se comenzó a crear a sí misma dentro de la industria pop que produce a personajes como Lady Gaga. Bailarina con una excelente reputación en videos de celebridades como Jessie J, Kylie Minogue y Taio Cruz, Twigs comenzó a hacerse de un tipo de fama muy distinto al que tiene ahora: ella era “la chica del video” a la que la gente reconocía, pero no por ser ella como tal, sino por aprovechar su innegable talento para hacer y comportarse como alguien más le pedía.  <a href=""https://www.last.fm/music/FKA+twigs"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Kelela', 'Arca', 'Björk', 'Eartheater', 'Oklou']"
Genres Masters of Music,,,,
The Poles,68447,2354146,,"['Kim Daniel', 'wave to earth', 'Off The Menu', 'Potatoi', 'Jeon Jin Hee, wave to earth']"
amaarae,760519,21984011,"Ama Serwah Genfi, conocida profesionalmente como Amaarae, es una cantautora ghanesa-estadounidense. Es conocida por su fusión de pop, R&B, Afrobeats, música Alté, así como por su representación fluida del género y la sexualidad. <a href=""https://www.last.fm/music/amaarae"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",[]
Shoday,1735,12112,,"['Fola', 'Ayo Maff', 'Rybeena', 'Tml Vibez', 'T.I BLAZE']"
Angham,24184,311962,,"['Ramy Gamal', 'Tamer Ashour', 'Sherine Abdel Wahab', 'Elissa', 'Ramy Sabry']"
geolier,53648,3703091,,[]
АСАФАТОV,2253,24475,,"['Sasha Chemerov', 'Enleo', 'СХОЖА', 'BEZ OBMEZHEN', 'Artem Pivovarov']"
Chlöe,455391,13843254,"Chloe Elizabeth Bailey (1 de julio de 1998), conocida por su nombre artístico Chlöe, es una cantautora, actriz y productora discográfica estadounidense. Es mejor conocida por ser la mitad del dúo musical Chloe x Halle con su hermana Halle Bailey. Juntas han lanzado dos álbumes de estudio; su segundo álbum, Ungodly Hour, recibió elogios generalizados tras su lanzamiento, y muchos críticos lo citaron como uno de los mejores álbumes de 2020. En 2021, debutó como solista con el sencillo ""Have Mercy"". Su primer álbum en solitario, In Pieces, se lanzó en marzo de 2023 y su sencillo principal ""Pray It Away"" el 27 de enero de ese año. <a href=""https://www.last.fm/music/Chl%C3%B6e"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Normani', 'Chloe x Halle', 'FLO', 'Victoria Monét', 'Coco Jones']"
Ex Habit,110115,1242881,,"['Omido', 'Zandros', 'Isabel LaRosa', 'Sam Short', 'Xolidayboy']"
TEms,522658,11835691,"Temilade Openiyi (Lagos, Nigeria, 11 de junio de 1995), más conocida por su nombre artístico Tems,​ es una cantante nigeriana. En 2021 obtuvo dos entradas entre las 40 primeros puestos del Billboard Hot 100 por su colaboración con Drake en la canción «Fountains» de su álbum Certified Lover Boy y por el sencillo de Wizkid «Essence»; el cual alcanzó los diez primeros puestos de la lista después de un remix con Justin Bieber, con el que obtuvo una nominación al premio Grammy.

En septiembre 2021, Tems firmó con el sello discográfico RCA Records y lanzó su segundo EP If Orange Was a Place, el cual alcanzó los primeros diez lugares de la lista de álbumes globales de Billboard. <a href=""https://www.last.fm/music/TEms"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",[]
Jannabi,154344,4326810,,[]
DJ Tao,47949,914923,,"['Alan Gomez', 'Callejero Fino', 'Salastkbron', 'Ecko', 'Luck Ra']"
張遠,3864,31230,,"['陳楚生', '井朧', '王錚亮', 'Tiger Hu', '棉子']"
Rogerinho,42404,318711,,"['Kevi Jonny', 'Matheus Fernandes', 'Léo Foguete', 'Kaká e Pedrinho', 'Léo Santana']"
Noize MC,298611,28214795,"Ivan Aleksandrovich Alekseev conocido como Noize Mc es un cantante y rapero ruso nacido en Moscú. 

Discografía 

2008 — The Greatest Hits Vol.1;
2009 — Розыгрыш (original soundtrack);
2010 — The Greatest Hits vol.2 (re-release);
2010 — Последний Альбом
2012 — Новый Альбом.  <a href=""https://www.last.fm/music/Noize+MC"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Anacondaz', 'Oxxxymiron', 'Нервы', 'PALC', 'Каста']"
卢卢快闭嘴,12365,163679,,"['承桓', 'En', '于冬然', '颜人中', '王贰浪']"
PLK,108842,8514605,,"['Gazo', 'Josman', 'Nekfeu', 'S.Pri Noir', 'Mister V']"
Oxlade,227449,2555945,,"['Joeboy', 'Ruger', 'Fireboy DML', 'Victony', 'Omah Lay']"
Вектор А,22113,374665,,"['Jamik', 'Гамора', 'Криминальный бит', 'Macan', 'Jakone']"
Nicholas Bonnin,84289,701508,,"['Zandros', 'Aaryan Shah', 'Reed Wonder', 'Lah Pat', 'Maejor']"
AdriAnne Lenker,919370,62840239,"Adrianne Elizabeth Lenker es una músico estadounidense de Indianápolis, Indiana, mejor conocida como la vocalista principal y guitarrista de Big Thief. <a href=""https://www.last.fm/music/AdriAnne+Lenker"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",[]
Surf Trash,52710,412544,,"['The Terrys', 'The Grogans', 'Hockey Dad', 'Skegss', 'Beddy Rays']"
zhanulka,32376,755891,,"['алёна швец.', 'Какая Разница', 'Оля ля', 'yuni.', 'Ручной Рептилоид']"
Marko Perković Thompson,10583,311543,,"['Oliver Dragojevic', 'GRŠE', 'Daleka Obala', 'Magazin', 'Prljavo Kazalište']"
SMILE BEATS,1118,19740,,[]
Sachet Tandon,58732,1080844,,"['Vishal Mishra', 'Sachin-Jigar', 'Pritam', 'Tanishk Bagchi', 'Akhil Sachdeva']"
Se So Neon,207943,5478076,,[]
Josman,73897,10493517,,"['Laylow', 'Hamza', 'Luidji', 'Dinos', 'Alpha Wann']"
Miss Montreal,77026,1176692,,"['Racoon', 'Guus Meeuwis', 'Suzan & Freek', 'Krezip', 'Marco Borsato']"
El Cuarteto De Nos,208849,13915867,"El Cuarteto de Nos es un grupo originario de Montevideo, Uruguay  formado en 1984 . Se destacan el humor de sus letras y sus originales puestas en escena.

El Cuarteto de Nos comienza en el año 1984, aunque Tavella y los hermanos Musso ya tocaban juntos desde 1980, año en que dieron su primer recital totalmente instrumental en el Teatro ""El Tinglado"".
A su vez componían, y mientras buscaban su propio estilo musical, tocaban en el Teatro ""La Máscara"", en ""El Circular"", en el ""Teatro de la Alianza Francesa"", etc. A raíz de estas presentaciones el sello Ayuí les propone grabar su primer (medio) disco, que seria compartido con Alberto Wolf. La propuesta es aceptada y en el año 1984 sale a la luz.
También en 1984 se suma el cuarto integrante Álvaro Pintos como baterista fijo, ya que hasta el momento Leonardo Baroncini era quien los acompañaba como invitado.
En 1985 suben al escenario ubicado en la feria de Villa Biarritz con papel de aluminio en las piernas y globos sujetos a la cabeza, generando interés en el público.
Desde esa época la originalidad de sus múltiples shows ha dado frutos y tienen una amplia lista de seguidores de todas las edades.
Soy una Arveja, su primer LP, sale en 1986 y se presenta en 1987 en el teatro El Galpón, donde hacen oficiales los disfraces de viejas (referidos al tema undécimo del mismo disco). Estos disfraces fueron usados en innumerables presentaciones.
Realizan su primer ciclo de actuaciones Homenaje a Cuarteto de Nos en 1988 en ""El Tinglado"" mientras graban Emilio García, su siguiente disco. El nombre del LP hace referencia al manager imaginario que la banda tenía en esa época, así como ""Tajo"" refiere al origen imaginario de la banda, la ciudad de Tajo. La presentación de este disco se realiza en un ciclo en el Teatro del Notariado, donde Los Bedronclos y Tuquito Y Sus Cowboys (parodias realizadas por ellos mismos) actúan de teloneros.
En 1989 recorren el país con sus presentaciones y en diciembre de 1991 se presentan por 1º vez en Argentina en la Segunda Bienal del Arte Joven
La grabación de su siguiente disco Canciones del corazón comienza en 1990, al tiempo que se presentaban un ciclo en ""La Tramoya"" y otro en el teatro del Notariado
El disco ""Canciones del Corazón"" (Orfeo), fue presentado en Teatro El Tinglado.
En 1994 se edita ""Otra navidad en las trincheras"", que es inmediatamente aceptado por público y prensa. El CD, obtiene por sus ventas los galardones de cuádruple disco de platino en Uruguay y es hasta la fecha el disco de rock más vendido en la historia del país.

La primera canción del disco El Tren Bala contenía el tema que causó una polémica muy grande con el grupo, este era El día que Artigas se emborrachó, por el cual el Ministerio de Educación y Cultura hizo en 1996 una denuncia penal a la justicia por entender que se estaba difamando al prócer nacional de Uruguay José Gervasio Artigas. El juicio finalmente quedó nulo porque el fiscal entendió que no se había cometido ningún delito. Luego intentaron que juzgara la justicia militar en plena democracia, porque se creía que vilipendiaba la bandera de Artigas. Finalmente el INAME (actual INAU) prohibió que el disco se vendiera para menores de 18 años y no se podía irradiar en el horario de protección al menor. Fue el único caso de intento de censura en Uruguay de un tema musical luego del retorno de la democracia en 1985.

En el 2007 Cuarteto de Nos es nominado al Grammy Latino con ""Yendo a la casa de Damián"" del disco Raro. Además ha promocionando su último trabajo por todo el continente, realizando presentaciones tanto en el Festival Vive Latino en México, como en el Festival Rock al Parque en Colombia.
En el 2008, participan en el Pepsi Music 2008, un enorme festival de Argentina, junto a otras grandes bandas y solistas. <a href=""https://www.last.fm/music/El+Cuarteto+De+Nos"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['La Vela Puerca', 'No Te Va Gustar', 'Soda Stereo', 'Hombres G', 'Fito Páez']"
WeRenoi,59874,3878994,,"['Ninho', 'Maes', 'Guy2Bezbar', 'Kaza', 'Freeze Corleone']"
Sam Hunt,439625,8590975,"Sam Lowry Hunt es un cantante, compositor de música country y exjugador de fútbol americano universitario estadounidense. Jugó al fútbol en la escuela secundaria y en la universidad, en ese entonces, persiguió una carrera como futbolista. <a href=""https://www.last.fm/music/Sam+Hunt"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Jordan Davis', 'Russell Dickerson', 'Dustin Lynch', 'Thomas Rhett', 'Florida Georgia Line']"
Bailey Zimmerman,187488,5295606,"Bailey Zimmerman (Louisville, 27 de enero de 2000) es un cantante de música country estadounidense. En 2022, lanzó los sencillos ""Fall in Love"" y ""Rock and a Hard Place"", que alcanzaron el número uno en la lista Billboard Country Airplay. Su álbum debut Religiously. The Album. fue lanzado el 12 de mayo de 2023. <a href=""https://www.last.fm/music/Bailey+Zimmerman"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Morgan Wallen', 'Luke Combs', 'Jordan Davis', 'Corey Kent', 'Warren Zeiders']"
Mida,24405,344698,,"['Olly', 'Rocco Hunt', 'Geolier', 'Emanuele Aloia', 'Bresh']"
